"source","target","value"
"Brevard","Indian River",1071.11
"Brevard","Lake",131.09
"Brevard","Polk",22.86
"Brevard","Volusia",370.41
"Indian River","Brevard",1421.25
"Lake","Brevard",55.12
"Lake","Polk",674.87
"Lake","Sumter",2007.05
"Lake","Volusia",520.48
"Orange","Lake",58.47
"Osceola","Polk",122.32
"Polk","Brevard",71.52
"Polk","Lake",533.34
"Polk","Osceola",19.52
"Polk","Volusia",170.57
"Seminole","Volusia",47.23
"Sumter","Lake",3940.42
"Sumter","Volusia",57.25
"Volusia","Brevard",384.63
"Volusia","Lake",735.39
"Volusia","Orange",35.27
"Volusia","Polk",135.12
"Volusia","Seminole",34.11
