"source","target","value"
"Brevard","Indian River",1307.73
"Brevard","Lake",52.81
"Brevard","Orange",1364.1
"Brevard","Osceola",85.56
"Brevard","Polk",68.92
"Brevard","Seminole",238.06
"Brevard","Sumter",35.84
"Brevard","Volusia",338.02
"Indian River","Brevard",1263.58
"Indian River","Lake",21.73
"Lake","Orange",2022.85
"Lake","Osceola",216.33
"Lake","Polk",375.17
"Lake","Seminole",680.92
"Lake","Sumter",2880.24
"Lake","Volusia",379.5
"Osceola","Polk",43.9
"Polk","Brevard",15.26
"Polk","Lake",613.67
"Polk","Orange",1011.95
"Polk","Osceola",1145.39
"Polk","Seminole",10.07
"Polk","Sumter",60.73
"Polk","Volusia",186.69
"Sumter","Lake",3051.77
"Sumter","Orange",74.87
"Sumter","Osceola",16.57
"Sumter","Polk",26.11
"Sumter","Volusia",57.06
"Volusia","Brevard",373.48
"Volusia","Lake",744.28
"Volusia","Orange",1038.82
"Volusia","Osceola",40.31
"Volusia","Polk",59.61
"Volusia","Seminole",1646.74
