"source","target","value"
"Brevard","Orange",603.04
"Brevard","Osceola",97.57
"Brevard","Seminole",5.5
"Indian River","Volusia",24.65
"Lake","Orange",2512.91
"Lake","Osceola",282.59
"Lake","Seminole",641.49
"Orange","Osceola",384.49
"Orange","Polk",28.37
"Orange","Seminole",498.72
"Orange","Volusia",67.47
"Osceola","Orange",713.32
"Osceola","Polk",16.3
"Osceola","Seminole",54.09
"Polk","Orange",1633.06
"Polk","Osceola",912.76
"Polk","Seminole",62.38
"Seminole","Orange",892.24
"Sumter","Orange",78.69
"Volusia","Orange",1595.44
"Volusia","Seminole",2184.38
