"source","target","value"
"Lake","Orange",33.08
"Lake","Polk",6.08
"Lake","Sumter",68.27
"Orange","Brevard",1001.59
"Orange","Lake",1207.26
"Orange","Osceola",6017.91
"Orange","Polk",605.08
"Orange","Seminole",8469.43
"Orange","Sumter",122.36
"Orange","Volusia",641.99
"Osceola","Brevard",127.75
"Osceola","Indian River",32.6
"Osceola","Lake",115
"Osceola","Orange",5365
"Osceola","Polk",572.81
"Osceola","Seminole",104.94
"Osceola","Volusia",22.94
"Polk","Orange",36.91
"Seminole","Brevard",181.13
"Seminole","Lake",181.64
"Seminole","Orange",8025.1
"Seminole","Osceola",252.97
"Seminole","Polk",175.76
"Seminole","Volusia",876
