"source","target","value"
"Brevard","Indian River",8510.82
"Brevard","Lake",990.54
"Brevard","Orange",32788.21
"Brevard","Osceola",6641
"Brevard","Polk",1930.14
"Brevard","Seminole",2195.37
"Brevard","Sumter",599.29
"Brevard","Volusia",7549.08
"Indian River","Brevard",6681.5
"Indian River","Lake",150.8
"Indian River","Orange",5506.76
"Indian River","Osceola",1118.26
"Indian River","Polk",1196.91
"Indian River","Seminole",355.17
"Indian River","Sumter",207.01
"Indian River","Volusia",1453.07
"Lake","Brevard",1494.51
"Lake","Indian River",436.22
"Lake","Orange",18676.1
"Lake","Osceola",5272.24
"Lake","Polk",3444.59
"Lake","Seminole",2265.22
"Lake","Sumter",13584.1
"Lake","Volusia",4087.87
"Orange","Brevard",30934.29
"Orange","Indian River",6543.57
"Orange","Lake",16608.31
"Orange","Osceola",206840.94
"Orange","Polk",47160.34
"Orange","Seminole",29473.96
"Orange","Sumter",9105.93
"Orange","Volusia",23649.43
"Osceola","Brevard",6815.79
"Osceola","Indian River",1297.87
"Osceola","Lake",4634.24
"Osceola","Orange",235657.93
"Osceola","Polk",18213.79
"Osceola","Seminole",2098.66
"Osceola","Sumter",1028.45
"Osceola","Volusia",3311.6
"Polk","Brevard",2303.94
"Polk","Indian River",907.79
"Polk","Lake",3786.32
"Polk","Orange",51937.34
"Polk","Osceola",19145.37
"Polk","Seminole",2181.51
"Polk","Sumter",2282.51
"Polk","Volusia",2516.69
"Seminole","Brevard",2223.52
"Seminole","Indian River",264.69
"Seminole","Lake",2126.31
"Seminole","Orange",35674.07
"Seminole","Osceola",3858.85
"Seminole","Polk",2611.31
"Seminole","Sumter",318
"Seminole","Volusia",9139.28
"Sumter","Brevard",468.63
"Sumter","Indian River",395.15
"Sumter","Lake",13218.29
"Sumter","Orange",11220.12
"Sumter","Osceola",1421.62
"Sumter","Polk",2529.31
"Sumter","Seminole",825.48
"Sumter","Volusia",858.34
"Volusia","Brevard",10599.43
"Volusia","Indian River",2458.27
"Volusia","Lake",3733.38
"Volusia","Orange",39650.07
"Volusia","Osceola",7469.5
"Volusia","Polk",4080.4
"Volusia","Seminole",10223.45
"Volusia","Sumter",553.22
