"source","target","value"
"Brevard","Orange",1059.46
"Brevard","Osceola",126.84
"Brevard","Seminole",299.22
"Lake","Orange",2586.91
"Lake","Osceola",130.1
"Lake","Seminole",244.27
"Orange","Brevard",35.9
"Orange","Lake",27
"Orange","Osceola",12187.85
"Orange","Polk",68.31
"Orange","Seminole",21062.66
"Orange","Volusia",99.66
"Osceola","Orange",6892.58
"Osceola","Polk",138.3
"Osceola","Seminole",386.79
"Polk","Orange",1468.74
"Polk","Osceola",693.2
"Polk","Seminole",259.16
"Seminole","Orange",15600.51
"Seminole","Osceola",409.8
"Sumter","Orange",27.24
"Volusia","Orange",894.57
"Volusia","Seminole",790.16
