"source","target","value"
"Brevard","Volusia",37.43
"Indian River","Brevard",5.19
"Lake","Polk",96.43
"Lake","Sumter",334.7
"Lake","Volusia",118.65
"Orange","Brevard",830.19
"Orange","Lake",1957.88
"Orange","Osceola",38.5
"Orange","Polk",507.97
"Orange","Sumter",145.58
"Orange","Volusia",515.95
"Osceola","Brevard",142.66
"Osceola","Lake",93.08
"Osceola","Polk",539.36
"Polk","Lake",42.24
"Seminole","Brevard",170.41
"Seminole","Lake",288.83
"Seminole","Polk",215.01
"Seminole","Volusia",1017.91
"Sumter","Lake",280.33
"Volusia","Lake",61.08
"Volusia","Polk",100.43
