"source","target","value"
"Brevard","Indian River",2693.7
"Brevard","Lake",513.25
"Brevard","Orange",4923.61
"Brevard","Osceola",1077.59
"Brevard","Polk",841.34
"Brevard","Seminole",1343.38
"Brevard","Volusia",1794.96
"Indian River","Brevard",3019.17
"Indian River","Lake",87.57
"Indian River","Orange",572.38
"Indian River","Osceola",206.08
"Indian River","Polk",268.46
"Indian River","Seminole",185.71
"Indian River","Sumter",30.91
"Indian River","Volusia",161.25
"Lake","Brevard",223.66
"Lake","Indian River",99.13
"Lake","Orange",11096.5
"Lake","Osceola",1097.42
"Lake","Polk",2299.25
"Lake","Seminole",2022.47
"Lake","Sumter",7662.32
"Lake","Volusia",2105.37
"Orange","Brevard",9228.64
"Orange","Indian River",1178.21
"Orange","Lake",19052.61
"Orange","Osceola",39204.49
"Orange","Polk",15327.32
"Orange","Seminole",60139.51
"Orange","Sumter",543.01
"Orange","Volusia",9071.91
"Osceola","Brevard",1239.09
"Osceola","Indian River",78.21
"Osceola","Lake",2538.7
"Osceola","Orange",22150.35
"Osceola","Polk",12908.41
"Osceola","Seminole",1770.79
"Osceola","Sumter",125.94
"Osceola","Volusia",873.12
"Polk","Brevard",568.75
"Polk","Indian River",342.86
"Polk","Lake",1058.1
"Polk","Orange",5190.62
"Polk","Osceola",4502.12
"Polk","Seminole",726.93
"Polk","Sumter",199.84
"Polk","Volusia",290.51
"Seminole","Brevard",1076.37
"Seminole","Indian River",47.19
"Seminole","Lake",4757.77
"Seminole","Orange",45676.03
"Seminole","Osceola",1532.83
"Seminole","Polk",1044.28
"Seminole","Sumter",20.68
"Seminole","Volusia",17234.95
"Sumter","Indian River",130.37
"Sumter","Lake",6502.56
"Sumter","Orange",442.38
"Sumter","Osceola",309.11
"Sumter","Polk",262.14
"Sumter","Seminole",37.24
"Sumter","Volusia",27.6
"Volusia","Brevard",1225.13
"Volusia","Indian River",84.96
"Volusia","Lake",2553.05
"Volusia","Orange",4968
"Volusia","Osceola",452.51
"Volusia","Polk",985.41
"Volusia","Seminole",7781.33
"Volusia","Sumter",81.2
