"source","target","value"
"Brevard","Indian River",1068.56
"Brevard","Lake",153.66
"Brevard","Orange",1704.06
"Brevard","Osceola",162.67
"Brevard","Polk",60.88
"Brevard","Seminole",473.33
"Brevard","Volusia",725.81
"Indian River","Brevard",1218.81
"Indian River","Osceola",35.57
"Indian River","Polk",15.62
"Lake","Orange",5968.01
"Lake","Osceola",353.26
"Lake","Polk",574.25
"Lake","Seminole",752.9
"Lake","Sumter",2508.2
"Lake","Volusia",909.92
"Orange","Brevard",2904.1
"Orange","Indian River",42.65
"Orange","Lake",11461.07
"Orange","Osceola",28031.67
"Orange","Polk",6773.11
"Orange","Seminole",47386.68
"Orange","Sumter",192.33
"Orange","Volusia",5416.7
"Osceola","Brevard",405.46
"Osceola","Indian River",46.67
"Osceola","Lake",1147.8
"Osceola","Orange",13342.06
"Osceola","Polk",4340.01
"Osceola","Seminole",697.2
"Osceola","Volusia",120.41
"Polk","Lake",380.78
"Polk","Orange",2523.41
"Polk","Osceola",2888.31
"Polk","Seminole",23.2
"Polk","Sumter",17.21
"Polk","Volusia",109.83
"Seminole","Brevard",292.91
"Seminole","Lake",2036.43
"Seminole","Orange",23705.71
"Seminole","Osceola",338.28
"Seminole","Polk",237.91
"Seminole","Volusia",9834.45
"Sumter","Lake",3418.87
"Sumter","Orange",126.15
"Sumter","Osceola",76.14
"Sumter","Polk",17.22
"Volusia","Brevard",263.87
"Volusia","Lake",887
"Volusia","Orange",1509.72
"Volusia","Osceola",67.13
"Volusia","Polk",134.18
"Volusia","Seminole",3843.87
