"source","target","value"
"Brevard","Indian River",7673.29
"Brevard","Lake",819.54
"Brevard","Orange",30455.84
"Brevard","Osceola",4816.85
"Brevard","Polk",2672.35
"Brevard","Seminole",1976.58
"Brevard","Sumter",539.08
"Brevard","Volusia",11942.46
"Indian River","Brevard",5936.22
"Indian River","Lake",129.79
"Indian River","Orange",7112.83
"Indian River","Osceola",1127.58
"Indian River","Polk",1068.35
"Indian River","Seminole",475.57
"Indian River","Sumter",323.96
"Indian River","Volusia",1945.02
"Lake","Brevard",632.5
"Lake","Indian River",501.13
"Lake","Orange",17579.85
"Lake","Osceola",7401.72
"Lake","Polk",3394.96
"Lake","Seminole",1761.79
"Lake","Sumter",12571.69
"Lake","Volusia",3009.68
"Orange","Brevard",23053.45
"Orange","Indian River",6766.17
"Orange","Lake",21740.9
"Orange","Osceola",148037.28
"Orange","Polk",44965.57
"Orange","Seminole",32032.46
"Orange","Sumter",11146.8
"Orange","Volusia",33910.09
"Osceola","Brevard",3755.08
"Osceola","Indian River",1504.65
"Osceola","Lake",5392.6
"Osceola","Orange",154483.03
"Osceola","Polk",19068.29
"Osceola","Seminole",3786.72
"Osceola","Sumter",2022.18
"Osceola","Volusia",7240.11
"Polk","Brevard",1488.64
"Polk","Indian River",1701.59
"Polk","Lake",3857.08
"Polk","Orange",34916.22
"Polk","Osceola",17160.18
"Polk","Seminole",2096.53
"Polk","Sumter",3558.97
"Polk","Volusia",4033.35
"Seminole","Brevard",1941.08
"Seminole","Indian River",692.57
"Seminole","Lake",3318.14
"Seminole","Orange",30787.92
"Seminole","Osceola",4322.56
"Seminole","Polk",3078.3
"Seminole","Sumter",1740.73
"Seminole","Volusia",12593.62
"Sumter","Brevard",188.24
"Sumter","Indian River",210.98
"Sumter","Lake",10247.58
"Sumter","Orange",7430.53
"Sumter","Osceola",1956.39
"Sumter","Polk",1031.77
"Sumter","Seminole",739.4
"Sumter","Volusia",248.45
"Volusia","Brevard",7387.1
"Volusia","Indian River",2207.26
"Volusia","Lake",3696.46
"Volusia","Orange",24661.64
"Volusia","Osceola",6094.19
"Volusia","Polk",3909.48
"Volusia","Seminole",7715.45
"Volusia","Sumter",534.13
