"source","target","value"
"Brevard","Indian River",2741.61
"Brevard","Lake",56.5
"Brevard","Orange",6942.25
"Brevard","Osceola",728.31
"Brevard","Polk",124.08
"Brevard","Seminole",1166.49
"Brevard","Volusia",776.89
"Indian River","Brevard",2923.73
"Indian River","Lake",49
"Indian River","Orange",808.81
"Indian River","Polk",155.48
"Indian River","Seminole",141.79
"Indian River","Sumter",32.53
"Indian River","Volusia",163.22
"Lake","Brevard",538.95
"Lake","Indian River",49.54
"Lake","Orange",18417.14
"Lake","Osceola",1662.26
"Lake","Polk",1420.57
"Lake","Seminole",3590.84
"Lake","Sumter",6571.42
"Lake","Volusia",2215.88
"Orange","Brevard",5096.38
"Orange","Indian River",298.6
"Orange","Lake",11596.42
"Orange","Osceola",19970.44
"Orange","Polk",5369.22
"Orange","Seminole",45556.5
"Orange","Sumter",310.24
"Orange","Volusia",5433.03
"Osceola","Brevard",691.66
"Osceola","Indian River",311.16
"Osceola","Lake",813.34
"Osceola","Orange",38116.62
"Osceola","Polk",4837.83
"Osceola","Seminole",1145.54
"Osceola","Sumter",61.91
"Osceola","Volusia",265.76
"Polk","Brevard",656.16
"Polk","Indian River",107.93
"Polk","Lake",1733.55
"Polk","Orange",11878.32
"Polk","Osceola",10308.1
"Polk","Seminole",661.2
"Polk","Sumter",304.98
"Polk","Volusia",679.82
"Seminole","Brevard",1502.76
"Seminole","Lake",1651.44
"Seminole","Orange",54631.22
"Seminole","Osceola",1236.07
"Seminole","Polk",932.39
"Seminole","Sumter",374.3
"Seminole","Volusia",6256.16
"Sumter","Brevard",82.81
"Sumter","Lake",6495.11
"Sumter","Orange",919.54
"Sumter","Osceola",188.87
"Sumter","Polk",216.93
"Sumter","Seminole",102.13
"Sumter","Volusia",151.05
"Volusia","Brevard",937.13
"Volusia","Indian River",40.83
"Volusia","Lake",1572.3
"Volusia","Orange",8284.87
"Volusia","Osceola",509.03
"Volusia","Polk",305.27
"Volusia","Seminole",13550.85
"Volusia","Sumter",67.97
