"source","target","value"
"Brevard","Orange",98.78
"Brevard","Seminole",72.17
"Brevard","Volusia",27.35
"Lake","Orange",25.62
"Lake","Sumter",68.44
"Orange","Brevard",38.78
"Orange","Lake",203.44
"Orange","Osceola",127.77
"Orange","Polk",82.36
"Orange","Seminole",156.59
"Osceola","Orange",35.07
"Osceola","Polk",73.03
"Polk","Orange",115.05
"Polk","Osceola",56.82
"Seminole","Orange",342.77
"Seminole","Volusia",125.27
"Sumter","Lake",103.97
"Sumter","Seminole",26.9
"Volusia","Lake",62.87
"Volusia","Orange",105.76
"Volusia","Seminole",137.38
