"source","target","value"
"Brevard","Indian River",41.27
"Brevard","Orange",1176.08
"Brevard","Osceola",174.4
"Brevard","Seminole",427.48
"Brevard","Volusia",55.64
"Indian River","Brevard",299.55
"Indian River","Orange",25.19
"Lake","Orange",2281.05
"Lake","Osceola",193.15
"Lake","Polk",118.01
"Lake","Seminole",632.47
"Lake","Sumter",172.05
"Orange","Lake",8.47
"Osceola","Lake",31.9
"Osceola","Orange",121.31
"Osceola","Polk",24.26
"Polk","Lake",113.06
"Polk","Orange",1316.94
"Polk","Osceola",963.7
"Polk","Seminole",63.76
"Polk","Sumter",25.89
"Polk","Volusia",45.25
"Sumter","Lake",479.71
"Sumter","Orange",294.34
"Sumter","Seminole",89.02
"Volusia","Brevard",69.52
"Volusia","Indian River",41.91
"Volusia","Lake",42.23
"Volusia","Orange",607.87
"Volusia","Seminole",1797.14
