"source","target","value"
"Brevard","Indian River",38.79
"Brevard","Lake",52.39
"Brevard","Orange",674.74
"Brevard","Osceola",146.34
"Brevard","Polk",73.68
"Brevard","Sumter",28.12
"Brevard","Volusia",27.77
"Indian River","Brevard",39.71
"Lake","Brevard",132.36
"Lake","Orange",4030.73
"Lake","Osceola",280.59
"Lake","Polk",264.69
"Lake","Seminole",549.43
"Lake","Sumter",173.08
"Lake","Volusia",570.15
"Orange","Polk",45.35
"Osceola","Lake",21.54
"Osceola","Orange",77.91
"Polk","Brevard",19.67
"Polk","Lake",404.12
"Polk","Orange",2802.81
"Polk","Osceola",2484.05
"Polk","Seminole",67.64
"Polk","Sumter",12.24
"Polk","Volusia",72.36
"Sumter","Lake",261.63
"Sumter","Osceola",47.65
"Volusia","Brevard",168.04
"Volusia","Lake",411.92
"Volusia","Orange",1243.24
"Volusia","Osceola",42.49
"Volusia","Polk",165.56
"Volusia","Seminole",3442.94
