"source","target","value"
"Brevard","Indian River",77.9
"Brevard","Lake",7.38
"Brevard","Orange",870.59
"Brevard","Osceola",114.21
"Brevard","Polk",44.76
"Brevard","Seminole",130.96
"Brevard","Volusia",116.96
"Indian River","Brevard",59.26
"Indian River","Osceola",7.06
"Indian River","Polk",70.27
"Indian River","Seminole",61.24
"Indian River","Sumter",11.44
"Lake","Brevard",29.4
"Lake","Orange",1233.73
"Lake","Osceola",26.82
"Lake","Polk",98.24
"Lake","Seminole",446.97
"Lake","Sumter",232.27
"Lake","Volusia",229.86
"Orange","Brevard",694.39
"Orange","Indian River",60.07
"Orange","Lake",1875.46
"Orange","Osceola",2294.26
"Orange","Polk",785
"Orange","Seminole",3214.65
"Orange","Sumter",40.22
"Orange","Volusia",580.23
"Osceola","Brevard",171.78
"Osceola","Lake",89.72
"Osceola","Orange",2148.25
"Osceola","Polk",512.63
"Osceola","Seminole",146.64
"Polk","Indian River",70.27
"Polk","Lake",102.21
"Polk","Orange",873.75
"Polk","Osceola",462.4
"Polk","Seminole",47.43
"Polk","Volusia",70.17
"Seminole","Brevard",45.28
"Seminole","Lake",173.94
"Seminole","Orange",2539.98
"Seminole","Osceola",45.09
"Seminole","Polk",176.66
"Seminole","Volusia",1035.64
"Sumter","Lake",149.08
"Sumter","Orange",105.21
"Sumter","Polk",26.58
"Sumter","Seminole",20.1
"Volusia","Brevard",87.54
"Volusia","Lake",21.02
"Volusia","Orange",389.56
"Volusia","Osceola",111.88
"Volusia","Polk",93.86
"Volusia","Seminole",976.55
"Volusia","Sumter",70.12
