"source","target","value"
"Brevard","Indian River",11699.76
"Brevard","Lake",2102.14
"Brevard","Orange",45218.17
"Brevard","Osceola",6677.99
"Brevard","Polk",4866.1
"Brevard","Seminole",5226.77
"Brevard","Sumter",2528.02
"Brevard","Volusia",21690.95
"Indian River","Brevard",11761.24
"Indian River","Lake",378.13
"Indian River","Orange",7656.15
"Indian River","Osceola",2466.71
"Indian River","Polk",1304.87
"Indian River","Seminole",1044.08
"Indian River","Sumter",698.12
"Indian River","Volusia",5040.4
"Lake","Brevard",1370.26
"Lake","Indian River",681.21
"Lake","Orange",34189.81
"Lake","Osceola",8693.19
"Lake","Polk",8201.32
"Lake","Seminole",6500.94
"Lake","Sumter",21471.9
"Lake","Volusia",8113.81
"Orange","Brevard",38085.87
"Orange","Indian River",8299.79
"Orange","Lake",39037.95
"Orange","Osceola",230254.31
"Orange","Polk",61239.46
"Orange","Seminole",74575.65
"Orange","Sumter",17098.14
"Orange","Volusia",42984.7
"Osceola","Brevard",5642.29
"Osceola","Indian River",3099.19
"Osceola","Lake",7289.77
"Osceola","Orange",236607.52
"Osceola","Polk",31333.57
"Osceola","Seminole",5600.78
"Osceola","Sumter",5142.03
"Osceola","Volusia",7256.69
"Polk","Brevard",3200.6
"Polk","Indian River",1789.44
"Polk","Lake",5614.69
"Polk","Orange",48512.87
"Polk","Osceola",26506.79
"Polk","Seminole",4610.28
"Polk","Sumter",4315.29
"Polk","Volusia",6657.94
"Seminole","Brevard",5266.48
"Seminole","Indian River",847.28
"Seminole","Lake",6672.27
"Seminole","Orange",71842.67
"Seminole","Osceola",5903.34
"Seminole","Polk",5062.05
"Seminole","Sumter",1726.46
"Seminole","Volusia",26187.09
"Sumter","Brevard",952.72
"Sumter","Indian River",745.12
"Sumter","Lake",16620.19
"Sumter","Orange",9431.22
"Sumter","Osceola",4159.27
"Sumter","Polk",2995.84
"Sumter","Seminole",1485.91
"Sumter","Volusia",558.13
"Volusia","Brevard",15511.05
"Volusia","Indian River",4131.12
"Volusia","Lake",8211.91
"Volusia","Orange",36405.9
"Volusia","Osceola",6129.74
"Volusia","Polk",8153.4
"Volusia","Seminole",20858.35
"Volusia","Sumter",1045.62
