"source","target","value"
"Brevard","Orange",19.56
"Lake","Orange",55.25
"Orange","Brevard",3535.98
"Orange","Indian River",195.49
"Orange","Lake",7315.18
"Orange","Osceola",14106.78
"Orange","Polk",3546.85
"Orange","Seminole",32463.58
"Orange","Sumter",446.9
"Orange","Volusia",3318.17
"Osceola","Brevard",753.63
"Osceola","Indian River",77.64
"Osceola","Lake",1010.09
"Osceola","Orange",26533.57
"Osceola","Polk",2603.63
"Osceola","Seminole",1167.92
"Osceola","Sumter",25.06
"Osceola","Volusia",250.53
"Polk","Lake",8.2
"Polk","Orange",7.7
"Polk","Osceola",176.04
"Seminole","Brevard",1276.08
"Seminole","Indian River",119.05
"Seminole","Lake",1006.42
"Seminole","Orange",39733.55
"Seminole","Osceola",713.65
"Seminole","Polk",530.75
"Seminole","Sumter",143.98
"Seminole","Volusia",4479.76
"Sumter","Lake",45.19
"Sumter","Orange",44.26
"Volusia","Orange",65.4
