"source","target","value"
"Brevard","Orange",1593.66
"Brevard","Osceola",68.3
"Brevard","Seminole",339.18
"Indian River","Brevard",68.08
"Indian River","Osceola",82.5
"Lake","Orange",5419
"Lake","Osceola",471.81
"Lake","Polk",17.58
"Lake","Seminole",1327.89
"Lake","Sumter",63.36
"Osceola","Orange",90.86
"Polk","Orange",2654.51
"Polk","Osceola",2212.83
"Polk","Seminole",39.52
"Sumter","Orange",32.64
"Sumter","Seminole",30.62
"Volusia","Orange",1866.03
"Volusia","Osceola",101.87
"Volusia","Seminole",3601.38
