"source","target","value"
"Brevard","Indian River",155.22
"Brevard","Lake",25.87
"Brevard","Orange",3733.47
"Brevard","Osceola",663.94
"Brevard","Seminole",884.38
"Brevard","Volusia",115.57
"Indian River","Brevard",145.88
"Indian River","Orange",259.2
"Indian River","Osceola",121.98
"Indian River","Seminole",55.1
"Lake","Brevard",66.37
"Lake","Orange",10243.74
"Lake","Osceola",649.31
"Lake","Polk",328.46
"Lake","Seminole",1826.33
"Lake","Sumter",307.07
"Orange","Brevard",3715.6
"Orange","Indian River",243.5
"Orange","Lake",10327.6
"Orange","Osceola",42544.34
"Orange","Polk",4111.73
"Orange","Seminole",84884.73
"Orange","Sumter",737.57
"Orange","Volusia",3552.14
"Osceola","Brevard",765.15
"Osceola","Indian River",121.98
"Osceola","Lake",772.67
"Osceola","Orange",45168.12
"Osceola","Polk",4542.39
"Osceola","Seminole",2773.24
"Osceola","Sumter",76.68
"Osceola","Volusia",132.66
"Polk","Lake",127.76
"Polk","Orange",4035.26
"Polk","Osceola",4374.06
"Polk","Seminole",480.41
"Seminole","Brevard",1138.59
"Seminole","Indian River",68.11
"Seminole","Lake",1871.64
"Seminole","Orange",83975.13
"Seminole","Osceola",2639.32
"Seminole","Polk",658.61
"Seminole","Sumter",157.26
"Seminole","Volusia",5181.81
"Sumter","Lake",325.19
"Sumter","Orange",699.68
"Sumter","Osceola",57.95
"Sumter","Seminole",79.56
"Volusia","Brevard",83.95
"Volusia","Lake",30.98
"Volusia","Orange",3267.4
"Volusia","Osceola",107.55
"Volusia","Seminole",4633.9
