"source","target","value"
"Brevard","Lake",55.47
"Brevard","Orange",2067.25
"Brevard","Osceola",405.64
"Brevard","Polk",69.79
"Brevard","Seminole",450.39
"Brevard","Sumter",49.63
"Brevard","Volusia",55.27
"Indian River","Brevard",85.08
"Indian River","Orange",163.22
"Indian River","Osceola",75.44
"Indian River","Seminole",65.89
"Lake","Brevard",48.75
"Lake","Orange",5677.71
"Lake","Osceola",533.44
"Lake","Polk",55.81
"Lake","Seminole",1181.53
"Lake","Sumter",290.34
"Lake","Volusia",56.49
"Orange","Brevard",2212.35
"Orange","Indian River",165.46
"Orange","Lake",5775.26
"Orange","Osceola",26732.53
"Orange","Polk",2457.37
"Orange","Seminole",49805.38
"Orange","Sumter",399.46
"Orange","Volusia",1790.47
"Osceola","Brevard",479.84
"Osceola","Indian River",41.4
"Osceola","Lake",379.09
"Osceola","Orange",25582.47
"Osceola","Polk",2047.81
"Osceola","Seminole",1584.82
"Osceola","Sumter",8.43
"Osceola","Volusia",269.38
"Polk","Brevard",91.54
"Polk","Indian River",75.55
"Polk","Lake",72.68
"Polk","Orange",2501.81
"Polk","Osceola",2161.98
"Polk","Seminole",404.4
"Polk","Sumter",8.04
"Seminole","Brevard",528.57
"Seminole","Indian River",78.3
"Seminole","Lake",985.31
"Seminole","Orange",46546.67
"Seminole","Osceola",1184.04
"Seminole","Polk",672.26
"Seminole","Sumter",54.28
"Seminole","Volusia",3699.75
"Sumter","Lake",597.3
"Sumter","Orange",658.27
"Sumter","Osceola",32.9
"Sumter","Polk",35.07
"Sumter","Seminole",121.98
"Volusia","Brevard",55.7
"Volusia","Orange",2057.99
"Volusia","Osceola",213.96
"Volusia","Seminole",2979.47
