"source","target","value"
"Brevard","Indian River",82.84
"Brevard","Orange",3829.66
"Brevard","Osceola",563.41
"Brevard","Seminole",327.45
"Indian River","Orange",42.65
"Indian River","Osceola",46.67
"Lake","Orange",13981.49
"Lake","Osceola",1514.42
"Lake","Seminole",3070.94
"Osceola","Lake",23.25
"Osceola","Orange",102.25
"Polk","Lake",23.25
"Polk","Orange",9774.34
"Polk","Osceola",5513.94
"Polk","Seminole",231.29
"Sumter","Orange",192.65
"Sumter","Seminole",54.09
"Volusia","Orange",6891.68
"Volusia","Seminole",12637.85
