"source","target","value"
"Lake","Orange",108.01
"Orange","Brevard",1490.88
"Orange","Indian River",84.78
"Orange","Lake",2533.29
"Orange","Osceola",7070.07
"Orange","Polk",1658.58
"Orange","Seminole",14023.37
"Orange","Sumter",98.24
"Orange","Volusia",1368.89
"Osceola","Brevard",343.8
"Osceola","Indian River",86.41
"Osceola","Lake",203.93
"Osceola","Orange",12018.28
"Osceola","Polk",909.28
"Osceola","Seminole",658.83
"Osceola","Sumter",64.15
"Osceola","Volusia",63.13
"Polk","Orange",8.65
"Polk","Osceola",49.29
"Seminole","Brevard",340.25
"Seminole","Lake",743.17
"Seminole","Orange",17488.21
"Seminole","Osceola",1089.94
"Seminole","Polk",517.53
"Seminole","Sumter",26.93
"Seminole","Volusia",2113.36
