"source","target","value"
"Brevard","Osceola",56.76
"Lake","Orange",34.18
"Orange","Brevard",1726.48
"Orange","Lake",6419.26
"Orange","Osceola",1521.8
"Orange","Polk",3680.26
"Orange","Seminole",1798.77
"Orange","Sumter",137.87
"Orange","Volusia",2890.77
"Osceola","Brevard",187.66
"Osceola","Indian River",49.3
"Osceola","Lake",458.37
"Osceola","Orange",1220.75
"Osceola","Polk",1675.14
"Osceola","Seminole",53.39
"Osceola","Volusia",108.07
"Polk","Lake",39.03
"Polk","Osceola",39.82
"Seminole","Brevard",350
"Seminole","Lake",1132.87
"Seminole","Orange",1318.48
"Seminole","Polk",276.85
"Seminole","Sumter",60.74
"Seminole","Volusia",5374.62
"Volusia","Orange",44.35
