"source","target","value"
"Brevard","Indian River",133.99
"Indian River","Brevard",147.24
"Lake","Orange",480.25
"Lake","Polk",90.65
"Lake","Sumter",623.32
"Lake","Volusia",136.87
"Orange","Lake",826.15
"Orange","Osceola",815.77
"Orange","Seminole",2978.74
"Osceola","Lake",5.29
"Osceola","Orange",1474.7
"Osceola","Polk",1049.81
"Polk","Lake",189.19
"Polk","Osceola",1198.45
"Seminole","Lake",70.29
"Seminole","Orange",3268.19
"Seminole","Volusia",131.05
"Sumter","Lake",471.67
"Volusia","Lake",111.14
"Volusia","Seminole",97.68
