"source","target","value"
"Brevard","Indian River",679.53
"Brevard","Orange",883.08
"Brevard","Osceola",124.18
"Brevard","Seminole",34.18
"Brevard","Volusia",157.82
"Indian River","Brevard",609.19
"Indian River","Orange",42.65
"Lake","Orange",4394.38
"Lake","Osceola",510.66
"Lake","Polk",283.49
"Lake","Seminole",729.96
"Lake","Sumter",1491.12
"Lake","Volusia",347.57
"Orange","Brevard",817.23
"Orange","Indian River",30.37
"Orange","Lake",3765.64
"Orange","Osceola",7308.51
"Orange","Polk",1897.81
"Orange","Seminole",12189.49
"Orange","Sumter",92.66
"Orange","Volusia",992.64
"Osceola","Brevard",115.09
"Osceola","Indian River",34.27
"Osceola","Lake",294.63
"Osceola","Orange",14548
"Osceola","Polk",1767.88
"Osceola","Seminole",160.92
"Osceola","Volusia",34.71
"Polk","Brevard",89.07
"Polk","Indian River",15.62
"Polk","Lake",468.45
"Polk","Orange",4499.5
"Polk","Osceola",2038.37
"Polk","Seminole",19.74
"Seminole","Brevard",106.07
"Seminole","Lake",619.21
"Seminole","Orange",16728.6
"Seminole","Osceola",274.05
"Seminole","Polk",100.79
"Seminole","Volusia",2455.72
"Sumter","Lake",1426
"Sumter","Orange",28.66
"Sumter","Seminole",54.09
"Volusia","Brevard",212.15
"Volusia","Lake",236.05
"Volusia","Orange",1607.61
"Volusia","Osceola",40.75
"Volusia","Seminole",3517.58
"Volusia","Sumter",57.25
