"source","target","value"
"Brevard","Lake",37.62
"Brevard","Orange",629.78
"Brevard","Osceola",321.65
"Brevard","Polk",29.44
"Brevard","Seminole",19.51
"Brevard","Volusia",22.72
"Indian River","Orange",62.85
"Lake","Orange",849.46
"Lake","Osceola",6.76
"Lake","Seminole",253.84
"Lake","Sumter",18.42
"Lake","Volusia",109.01
"Orange","Brevard",742.61
"Orange","Lake",504.01
"Orange","Osceola",3694.83
"Orange","Polk",426.12
"Orange","Seminole",5947.04
"Orange","Sumter",7.98
"Orange","Volusia",435.31
"Osceola","Brevard",354.49
"Osceola","Lake",26.37
"Osceola","Orange",3484.9
"Osceola","Polk",435.3
"Osceola","Seminole",93.77
"Polk","Brevard",35.44
"Polk","Orange",672.96
"Polk","Osceola",643.89
"Polk","Sumter",19.21
"Seminole","Brevard",67.39
"Seminole","Lake",158.02
"Seminole","Orange",6689.11
"Seminole","Osceola",75.53
"Seminole","Polk",8.23
"Seminole","Volusia",848.89
"Sumter","Lake",149.67
"Sumter","Orange",36.06
"Sumter","Polk",6.13
"Volusia","Brevard",22.72
"Volusia","Lake",79.9
"Volusia","Orange",301.66
"Volusia","Polk",55.42
"Volusia","Seminole",554
