"source","target","value"
"Brevard","Indian River",3160.4
"Brevard","Lake",221.03
"Brevard","Orange",6744.05
"Brevard","Osceola",536.27
"Brevard","Polk",270.31
"Brevard","Seminole",705.96
"Brevard","Sumter",48.79
"Brevard","Volusia",1015.4
"Indian River","Brevard",1674.96
"Indian River","Orange",630.02
"Indian River","Osceola",76.81
"Indian River","Polk",29.54
"Indian River","Sumter",42.66
"Indian River","Volusia",84.96
"Lake","Brevard",245.34
"Lake","Indian River",131.45
"Lake","Orange",13480.58
"Lake","Osceola",1398.91
"Lake","Polk",1087.64
"Lake","Seminole",2468
"Lake","Sumter",6398.75
"Lake","Volusia",2109.23
"Orange","Lake",119.14
"Orange","Osceola",21.38
"Orange","Seminole",33.3
"Osceola","Lake",18.73
"Osceola","Orange",112.9
"Osceola","Polk",153.24
"Polk","Brevard",316.47
"Polk","Indian River",304.67
"Polk","Lake",2056.95
"Polk","Orange",9993.69
"Polk","Osceola",8608.57
"Polk","Seminole",452.01
"Polk","Sumter",359.09
"Polk","Volusia",382.25
"Sumter","Brevard",64.58
"Sumter","Lake",6228.96
"Sumter","Orange",909.52
"Sumter","Osceola",131.78
"Sumter","Polk",143.26
"Sumter","Seminole",97.05
"Sumter","Volusia",117.07
"Volusia","Brevard",777.61
"Volusia","Indian River",49.73
"Volusia","Lake",1166.81
"Volusia","Orange",6709.92
"Volusia","Osceola",369.84
"Volusia","Polk",318.79
"Volusia","Seminole",10944.65
"Volusia","Sumter",128.61
