"source","target","value"
"Brevard","Lake",20.49
"Indian River","Brevard",82.84
"Orange","Brevard",2822.08
"Orange","Lake",11090.32
"Orange","Osceola",180.26
"Orange","Polk",6209.38
"Orange","Sumter",167.06
"Orange","Volusia",5561.87
"Osceola","Brevard",517.7
"Osceola","Indian River",46.67
"Osceola","Lake",1131.4
"Osceola","Polk",4557.74
"Osceola","Sumter",30.83
"Osceola","Volusia",111.62
"Polk","Osceola",19.34
"Seminole","Brevard",299.53
"Seminole","Lake",2090.57
"Seminole","Orange",35.86
"Seminole","Polk",156.42
"Seminole","Sumter",54.09
"Seminole","Volusia",9787.32
