"source","target","value"
"Brevard","Indian River",555.95
"Brevard","Volusia",332.72
"Indian River","Brevard",522.65
"Lake","Orange",1061.26
"Lake","Osceola",17.68
"Lake","Polk",246.01
"Lake","Seminole",67.72
"Lake","Sumter",2366.35
"Lake","Volusia",406.35
"Orange","Lake",757.23
"Osceola","Lake",34.62
"Osceola","Polk",1538.07
"Polk","Lake",269.84
"Polk","Osceola",2002.58
"Seminole","Lake",30.45
"Seminole","Volusia",116.19
"Sumter","Lake",1829.88
"Volusia","Brevard",332.72
"Volusia","Lake",383.88
