"source","target","value"
"Brevard","Indian River",135.8
"Brevard","Lake",29.65
"Brevard","Orange",2037.41
"Brevard","Osceola",165.43
"Brevard","Polk",20.93
"Brevard","Seminole",532.58
"Brevard","Sumter",32.14
"Brevard","Volusia",355.83
"Indian River","Brevard",143.83
"Indian River","Osceola",78.21
"Indian River","Seminole",28.11
"Lake","Brevard",109.22
"Lake","Indian River",60.34
"Lake","Orange",12427.96
"Lake","Osceola",967.44
"Lake","Polk",545.43
"Lake","Seminole",2044.52
"Lake","Sumter",1112.98
"Lake","Volusia",645.16
"Osceola","Lake",21.54
"Osceola","Orange",320.1
"Osceola","Polk",156.56
"Osceola","Sumter",15.95
"Polk","Brevard",323.76
"Polk","Indian River",97.96
"Polk","Lake",1065.76
"Polk","Orange",10194.03
"Polk","Osceola",6978.05
"Polk","Seminole",552.79
"Polk","Sumter",17.22
"Polk","Volusia",123.84
"Sumter","Lake",465.03
"Sumter","Orange",242
"Sumter","Osceola",160.13
"Sumter","Polk",68.96
"Sumter","Seminole",112.25
"Volusia","Brevard",377.05
"Volusia","Lake",997.95
"Volusia","Orange",6006.63
"Volusia","Osceola",320.4
"Volusia","Polk",389.42
"Volusia","Seminole",9465.78
"Volusia","Sumter",53.58
