"source","target","value"
"Brevard","Indian River",106.49
"Orange","Brevard",6623.55
"Orange","Indian River",91.11
"Orange","Lake",25073.86
"Orange","Osceola",257.69
"Orange","Polk",11698.64
"Orange","Sumter",937.15
"Orange","Volusia",6009.81
"Osceola","Brevard",1336.35
"Osceola","Indian River",247.01
"Osceola","Lake",1970.3
"Osceola","Orange",8.47
"Osceola","Polk",11002.37
"Osceola","Sumter",76.14
"Osceola","Volusia",237.97
"Polk","Lake",24.44
"Seminole","Brevard",1951.42
"Seminole","Lake",3657.83
"Seminole","Polk",354.07
"Seminole","Sumter",61.24
"Seminole","Volusia",17578.03
"Sumter","Lake",304.38
