"source","target","value"
"Brevard","Indian River",2436.43
"Brevard","Lake",28.68
"Brevard","Polk",203.21
"Brevard","Volusia",964.98
"Indian River","Brevard",2122.8
"Indian River","Lake",31.09
"Indian River","Polk",172.13
"Indian River","Sumter",39.4
"Indian River","Volusia",77.81
"Lake","Brevard",47.1
"Lake","Orange",152.57
"Lake","Polk",1311.44
"Lake","Sumter",7499.07
"Lake","Volusia",1277.26
"Orange","Brevard",1398.7
"Orange","Indian River",317.73
"Orange","Lake",5789.2
"Orange","Osceola",67.04
"Orange","Polk",3023.74
"Orange","Sumter",182.38
"Orange","Volusia",2327.8
"Osceola","Brevard",522.68
"Osceola","Lake",432.58
"Osceola","Polk",2111.91
"Osceola","Sumter",35.49
"Osceola","Volusia",45.7
"Polk","Brevard",46.34
"Polk","Lake",904.48
"Polk","Osceola",122.8
"Polk","Sumter",131.96
"Polk","Volusia",204.68
"Seminole","Brevard",302.23
"Seminole","Lake",1250.53
"Seminole","Polk",450.78
"Seminole","Sumter",96.2
"Seminole","Volusia",5326.01
"Sumter","Brevard",14.27
"Sumter","Lake",6639.66
"Sumter","Polk",446.33
"Volusia","Brevard",993.82
"Volusia","Indian River",37.9
"Volusia","Lake",672.11
"Volusia","Polk",139.63
"Volusia","Sumter",34.46
