"source","target","value"
"Brevard","Indian River",2615.95
"Brevard","Lake",28.68
"Brevard","Orange",4228
"Brevard","Osceola",697.3
"Brevard","Polk",203.21
"Brevard","Seminole",677.81
"Brevard","Volusia",994.66
"Indian River","Brevard",2261.35
"Indian River","Lake",31.09
"Indian River","Orange",81.17
"Indian River","Polk",172.13
"Indian River","Seminole",33.23
"Indian River","Sumter",39.4
"Indian River","Volusia",102.46
"Lake","Brevard",47.1
"Lake","Orange",15149.02
"Lake","Osceola",1446.5
"Lake","Polk",1724.05
"Lake","Seminole",3169.49
"Lake","Sumter",8635.17
"Lake","Volusia",1477.86
"Orange","Brevard",3843
"Orange","Indian River",324.31
"Orange","Lake",12656.78
"Orange","Osceola",21596.95
"Orange","Polk",5199.92
"Orange","Seminole",44772.14
"Orange","Sumter",455.85
"Orange","Volusia",3945.88
"Osceola","Brevard",915.39
"Osceola","Lake",1299.06
"Osceola","Orange",36892.49
"Osceola","Polk",5208.94
"Osceola","Seminole",950.81
"Osceola","Sumter",35.49
"Osceola","Volusia",148.61
"Polk","Brevard",51.58
"Polk","Lake",1109.21
"Polk","Orange",8564.77
"Polk","Osceola",4445.69
"Polk","Seminole",551.64
"Polk","Sumter",171.92
"Polk","Volusia",204.68
"Seminole","Brevard",959.02
"Seminole","Lake",2962.29
"Seminole","Orange",61644.75
"Seminole","Osceola",1287.53
"Seminole","Polk",575.9
"Seminole","Sumter",286.2
"Seminole","Volusia",9579.57
"Sumter","Brevard",14.27
"Sumter","Lake",7204.86
"Sumter","Orange",663.31
"Sumter","Osceola",45.38
"Sumter","Polk",446.33
"Sumter","Seminole",115.34
"Volusia","Brevard",1030.02
"Volusia","Indian River",37.9
"Volusia","Lake",784.8
"Volusia","Orange",6709.6
"Volusia","Osceola",215.11
"Volusia","Polk",213.86
"Volusia","Seminole",12047.75
"Volusia","Sumter",34.46
