"source","target","value"
"Brevard","Indian River",3452.09
"Brevard","Lake",194.28
"Brevard","Polk",192.94
"Brevard","Volusia",1151.84
"Indian River","Brevard",4555.68
"Indian River","Polk",15.62
"Lake","Brevard",42.1
"Lake","Orange",278.73
"Lake","Osceola",25.11
"Lake","Polk",2052.89
"Lake","Sumter",7203.61
"Lake","Volusia",1536.27
"Orange","Lake",330.82
"Osceola","Indian River",39.72
"Osceola","Lake",281.4
"Osceola","Polk",693.38
"Polk","Brevard",35.76
"Polk","Lake",1831.8
"Polk","Osceola",37.2
"Polk","Sumter",47.18
"Polk","Volusia",290.46
"Seminole","Lake",38.03
"Seminole","Volusia",117.71
"Sumter","Lake",12844.29
"Sumter","Polk",33.14
"Sumter","Volusia",171.75
"Volusia","Brevard",1419.34
"Volusia","Indian River",38.85
"Volusia","Lake",2668.22
"Volusia","Polk",257.17
"Volusia","Sumter",45.23
