"source","target","value"
"Brevard","Indian River",50.03
"Brevard","Orange",58.14
"Brevard","Osceola",123.7
"Brevard","Volusia",36.02
"Indian River","Brevard",45.46
"Lake","Orange",143.2
"Lake","Seminole",31.09
"Orange","Brevard",6869.79
"Orange","Indian River",158.63
"Orange","Lake",22725.2
"Orange","Osceola",6084.17
"Orange","Polk",13920.09
"Orange","Seminole",7337.27
"Orange","Sumter",374.51
"Orange","Volusia",11217.22
"Osceola","Brevard",702.05
"Osceola","Indian River",146.39
"Osceola","Lake",2142.44
"Osceola","Orange",3318.07
"Osceola","Polk",6796.65
"Osceola","Seminole",97.66
"Osceola","Sumter",120.14
"Osceola","Volusia",141.13
"Polk","Lake",67.6
"Polk","Orange",30.85
"Polk","Osceola",39.82
"Seminole","Brevard",1240.49
"Seminole","Lake",4963.71
"Seminole","Orange",3875.6
"Seminole","Osceola",208.54
"Seminole","Polk",599.27
"Seminole","Sumter",233.01
"Seminole","Volusia",19762.89
"Sumter","Lake",30.76
"Volusia","Lake",61.56
"Volusia","Orange",119.79
"Volusia","Seminole",88.96
