"source","target","value"
"Brevard","Indian River",119.83
"Brevard","Orange",4672.72
"Brevard","Osceola",683.16
"Brevard","Polk",53.01
"Brevard","Seminole",1096.54
"Brevard","Volusia",55.64
"Indian River","Brevard",474.63
"Indian River","Lake",45.21
"Indian River","Orange",106.97
"Lake","Brevard",71.16
"Lake","Orange",10720
"Lake","Osceola",1036.71
"Lake","Polk",284.94
"Lake","Seminole",2296.1
"Lake","Sumter",1008.7
"Lake","Volusia",402.65
"Orange","Lake",55.83
"Osceola","Lake",92.9
"Osceola","Orange",220.07
"Osceola","Polk",115.75
"Polk","Brevard",45.52
"Polk","Lake",419.19
"Polk","Orange",4580.17
"Polk","Osceola",4681.41
"Polk","Seminole",347.38
"Polk","Sumter",115.65
"Polk","Volusia",138.4
"Seminole","Brevard",29.68
"Sumter","Lake",1472.42
"Sumter","Orange",692.14
"Sumter","Osceola",106.99
"Sumter","Polk",39.96
"Sumter","Seminole",148.69
"Sumter","Volusia",158.8
"Volusia","Brevard",276.01
"Volusia","Indian River",41.91
"Volusia","Lake",230.86
"Volusia","Orange",3418.25
"Volusia","Osceola",110.08
"Volusia","Polk",94.33
"Volusia","Seminole",6893.93
"Volusia","Sumter",12.82
