"source","target","value"
"Brevard","Indian River",711.93
"Brevard","Lake",91.37
"Brevard","Orange",15840.22
"Brevard","Osceola",2888.85
"Brevard","Polk",102.08
"Brevard","Seminole",3917.6
"Brevard","Sumter",105.44
"Brevard","Volusia",354.45
"Indian River","Brevard",1116.66
"Indian River","Lake",45.21
"Indian River","Orange",775.17
"Indian River","Osceola",548.5
"Indian River","Polk",119.61
"Indian River","Seminole",122.16
"Indian River","Volusia",150.89
"Lake","Brevard",182.45
"Lake","Orange",43829.06
"Lake","Osceola",3229.63
"Lake","Polk",1043.68
"Lake","Seminole",8063.28
"Lake","Sumter",3655.7
"Lake","Volusia",1046.88
"Orange","Brevard",13382.4
"Orange","Indian River",363.39
"Orange","Lake",42989.5
"Orange","Osceola",14795.67
"Orange","Polk",19693.25
"Orange","Seminole",24808.17
"Orange","Sumter",2507.92
"Orange","Volusia",11477.57
"Osceola","Brevard",2403.56
"Osceola","Indian River",412.57
"Osceola","Lake",3536.7
"Osceola","Orange",13512.51
"Osceola","Polk",19480.62
"Osceola","Seminole",840.88
"Osceola","Sumter",93.57
"Osceola","Volusia",1034.09
"Polk","Brevard",181.87
"Polk","Indian River",110.11
"Polk","Lake",999.24
"Polk","Orange",20068.9
"Polk","Osceola",19826.39
"Polk","Seminole",1587.9
"Polk","Sumter",241.67
"Polk","Volusia",187.74
"Seminole","Brevard",3662.84
"Seminole","Indian River",119.23
"Seminole","Lake",7141.44
"Seminole","Orange",23128.21
"Seminole","Osceola",1093.81
"Seminole","Polk",1593.46
"Seminole","Sumter",592.3
"Seminole","Volusia",27886.32
"Sumter","Brevard",28.31
"Sumter","Lake",3568.53
"Sumter","Orange",3156.8
"Sumter","Osceola",192.65
"Sumter","Polk",58.29
"Sumter","Seminole",536.56
"Sumter","Volusia",240.04
"Volusia","Brevard",628.72
"Volusia","Indian River",41.91
"Volusia","Lake",709.94
"Volusia","Orange",12709.28
"Volusia","Osceola",763.86
"Volusia","Polk",317.36
"Volusia","Seminole",29573.82
"Volusia","Sumter",80.38
