"source","target","value"
"Brevard","Indian River",501.39
"Brevard","Lake",70.05
"Brevard","Orange",15588.85
"Brevard","Osceola",3126.15
"Brevard","Polk",138.72
"Brevard","Seminole",4422.04
"Brevard","Sumter",19.95
"Brevard","Volusia",603.35
"Indian River","Brevard",367.42
"Indian River","Lake",55.47
"Indian River","Orange",1343.62
"Indian River","Osceola",647.65
"Indian River","Polk",118.43
"Indian River","Seminole",338.25
"Indian River","Volusia",35.79
"Lake","Brevard",47.17
"Lake","Orange",37430.77
"Lake","Osceola",3571.62
"Lake","Polk",320.35
"Lake","Seminole",8328.82
"Lake","Sumter",1161.85
"Lake","Volusia",358.53
"Orange","Brevard",22572.97
"Orange","Indian River",2500.82
"Orange","Lake",44990.3
"Orange","Osceola",452959.97
"Orange","Polk",31129.08
"Orange","Seminole",790613.58
"Orange","Sumter",3802.44
"Orange","Volusia",26884.23
"Osceola","Brevard",5484.21
"Osceola","Indian River",674.43
"Osceola","Lake",4637.46
"Osceola","Orange",447642.39
"Osceola","Polk",18760.84
"Osceola","Seminole",19536.15
"Osceola","Sumter",347.99
"Osceola","Volusia",1830.43
"Polk","Brevard",123.98
"Polk","Lake",590.77
"Polk","Orange",21636.41
"Polk","Osceola",15589.05
"Polk","Seminole",2810.68
"Polk","Sumter",67.78
"Polk","Volusia",40.9
"Seminole","Brevard",6498.68
"Seminole","Indian River",634.51
"Seminole","Lake",12047.45
"Seminole","Orange",785234.8
"Seminole","Osceola",21273.46
"Seminole","Polk",4981.92
"Seminole","Sumter",1032.05
"Seminole","Volusia",34283.78
"Sumter","Brevard",76.33
"Sumter","Indian River",27.44
"Sumter","Lake",1579.61
"Sumter","Orange",2335.35
"Sumter","Osceola",447.15
"Sumter","Polk",45.43
"Sumter","Seminole",560.96
"Sumter","Volusia",57.51
"Volusia","Brevard",444.24
"Volusia","Indian River",16.21
"Volusia","Lake",431.12
"Volusia","Orange",17171.54
"Volusia","Osceola",1858.91
"Volusia","Polk",249.44
"Volusia","Seminole",25582.83
"Volusia","Sumter",30.38
