"source","target","value"
"Brevard","Indian River",48.98
"Brevard","Orange",2090.71
"Brevard","Osceola",170.1
"Brevard","Polk",119.58
"Brevard","Seminole",268.94
"Brevard","Volusia",86.65
"Indian River","Brevard",228.73
"Indian River","Orange",173.47
"Lake","Brevard",121.82
"Lake","Orange",10068.03
"Lake","Osceola",648.31
"Lake","Polk",602.53
"Lake","Seminole",2014.07
"Lake","Sumter",816
"Lake","Volusia",410.59
"Orange","Lake",139.91
"Osceola","Orange",213.79
"Osceola","Polk",49.55
"Polk","Brevard",74.56
"Polk","Lake",895.86
"Polk","Orange",8509.29
"Polk","Osceola",5896.78
"Polk","Seminole",403.91
"Polk","Sumter",92.59
"Polk","Volusia",39.68
"Seminole","Volusia",30.4
"Sumter","Brevard",38.31
"Sumter","Lake",254.58
"Sumter","Orange",309.53
"Sumter","Osceola",69.04
"Sumter","Polk",85.99
"Sumter","Seminole",58.46
"Volusia","Brevard",360.51
"Volusia","Lake",461.53
"Volusia","Orange",5061.9
"Volusia","Osceola",660.97
"Volusia","Polk",25.44
"Volusia","Seminole",7231.92
