"source","target","value"
"Brevard","Indian River",122.43
"Brevard","Orange",79.84
"Brevard","Osceola",36.69
"Brevard","Polk",27.27
"Brevard","Volusia",71.14
"Indian River","Brevard",72.1
"Indian River","Polk",55.53
"Lake","Orange",355.57
"Lake","Osceola",7.37
"Lake","Polk",46.01
"Lake","Sumter",286.3
"Orange","Brevard",187.57
"Orange","Indian River",84.75
"Orange","Lake",356.59
"Orange","Osceola",1229.37
"Orange","Polk",358.79
"Orange","Seminole",1368.94
"Orange","Sumter",67.84
"Orange","Volusia",101.46
"Osceola","Indian River",49.53
"Osceola","Lake",18.35
"Osceola","Orange",465.05
"Osceola","Polk",88.62
"Osceola","Sumter",43.86
"Osceola","Volusia",22.45
"Polk","Lake",75.05
"Polk","Orange",98.86
"Polk","Osceola",160.71
"Polk","Sumter",49.04
"Seminole","Brevard",69.6
"Seminole","Indian River",35.38
"Seminole","Lake",81.13
"Seminole","Orange",582.14
"Seminole","Osceola",5.25
"Seminole","Polk",104.2
"Seminole","Sumter",30.67
"Seminole","Volusia",357.76
"Sumter","Lake",71.76
"Sumter","Orange",7.93
"Sumter","Osceola",56.24
"Sumter","Polk",17.83
"Volusia","Brevard",135.12
"Volusia","Orange",18.35
"Volusia","Osceola",22.96
"Volusia","Polk",21.62
"Volusia","Seminole",93.07
