"source","target","value"
"Brevard","Orange",4477.92
"Brevard","Osceola",1577.38
"Brevard","Seminole",1133.48
"Indian River","Orange",259.93
"Indian River","Osceola",9.05
"Indian River","Seminole",42.21
"Lake","Orange",9100.8
"Lake","Osceola",763.91
"Lake","Polk",22.92
"Lake","Seminole",1808.86
"Lake","Sumter",61.41
"Orange","Brevard",68.73
"Orange","Lake",178.36
"Orange","Osceola",46104.55
"Orange","Polk",230.67
"Orange","Seminole",67661.24
"Orange","Volusia",196.77
"Osceola","Orange",24289.12
"Osceola","Polk",361.78
"Osceola","Seminole",1749.95
"Polk","Orange",4048.69
"Polk","Osceola",3006.09
"Polk","Seminole",490.66
"Seminole","Lake",74.98
"Seminole","Orange",53445.44
"Seminole","Osceola",1611.25
"Seminole","Volusia",70.6
"Sumter","Orange",690.39
"Sumter","Osceola",129.45
"Volusia","Orange",4309.11
"Volusia","Osceola",385.89
"Volusia","Seminole",6678.44
