"source","target","value"
"Brevard","Indian River",8823.94
"Brevard","Lake",1431.99
"Brevard","Polk",1547.56
"Brevard","Sumter",133.71
"Brevard","Volusia",3802.34
"Indian River","Brevard",11239.26
"Indian River","Lake",136.31
"Indian River","Polk",641.19
"Indian River","Sumter",33.68
"Indian River","Volusia",185.4
"Lake","Brevard",632.93
"Lake","Indian River",34.6
"Lake","Orange",399.13
"Lake","Osceola",141.86
"Lake","Polk",7378.17
"Lake","Seminole",29.16
"Lake","Sumter",25782.28
"Lake","Volusia",6360.63
"Orange","Brevard",22607.26
"Orange","Indian River",2632.15
"Orange","Lake",49009.26
"Orange","Osceola",243.28
"Orange","Polk",36651.22
"Orange","Sumter",2937.99
"Orange","Volusia",23299.73
"Osceola","Brevard",2024.45
"Osceola","Indian River",432.26
"Osceola","Lake",4801.71
"Osceola","Orange",28.92
"Osceola","Polk",32445.72
"Osceola","Sumter",284.03
"Osceola","Volusia",1183.27
"Polk","Brevard",973.76
"Polk","Indian River",237.37
"Polk","Lake",4262.14
"Polk","Osceola",393.32
"Polk","Sumter",443.37
"Polk","Volusia",1459.29
"Seminole","Brevard",2783.53
"Seminole","Indian River",262.98
"Seminole","Lake",10218.46
"Seminole","Polk",1937.64
"Seminole","Sumter",351.72
"Seminole","Volusia",44867.73
"Sumter","Brevard",48.79
"Sumter","Indian River",53.85
"Sumter","Lake",22204.27
"Sumter","Polk",1705.96
"Sumter","Volusia",413.98
"Volusia","Brevard",4432.45
"Volusia","Indian River",378.88
"Volusia","Lake",7785.57
"Volusia","Polk",1770.61
"Volusia","Seminole",36.03
"Volusia","Sumter",618.57
