"source","target","value"
"Brevard","Indian River",515.41
"Brevard","Lake",196.49
"Brevard","Orange",1834.23
"Brevard","Osceola",249.04
"Brevard","Polk",206.52
"Brevard","Seminole",582.84
"Brevard","Sumter",38.31
"Brevard","Volusia",512.82
"Indian River","Brevard",536.57
"Indian River","Lake",32.27
"Indian River","Osceola",72.69
"Indian River","Seminole",32.25
"Lake","Brevard",74.29
"Lake","Indian River",63.87
"Lake","Orange",8691.55
"Lake","Osceola",1038.79
"Lake","Polk",1116.1
"Lake","Seminole",1345.26
"Lake","Sumter",1586.59
"Lake","Volusia",992.54
"Orange","Brevard",3328.88
"Orange","Indian River",129.62
"Orange","Lake",13677
"Orange","Osceola",2773.67
"Orange","Polk",8797.66
"Orange","Seminole",5061.87
"Orange","Sumter",343.86
"Orange","Volusia",6066.02
"Osceola","Brevard",525.91
"Osceola","Lake",1410.08
"Osceola","Orange",2466.07
"Osceola","Polk",5555.7
"Osceola","Seminole",200.79
"Osceola","Volusia",337.34
"Polk","Brevard",218.61
"Polk","Indian River",68.35
"Polk","Lake",920.91
"Polk","Orange",6071.82
"Polk","Osceola",3576.69
"Polk","Seminole",384.84
"Polk","Sumter",43.81
"Polk","Volusia",385.26
"Seminole","Brevard",322.44
"Seminole","Lake",2111.11
"Seminole","Orange",4240.95
"Seminole","Osceola",375.44
"Seminole","Polk",540.94
"Seminole","Volusia",9744.53
"Sumter","Lake",1688.32
"Sumter","Orange",363.84
"Sumter","Polk",142.12
"Sumter","Seminole",98.87
"Sumter","Volusia",76.4
"Volusia","Brevard",173.3
"Volusia","Lake",869.31
"Volusia","Orange",4038.4
"Volusia","Osceola",149.9
"Volusia","Polk",117.36
"Volusia","Seminole",7477.92
