"source","target","value"
"Brevard","Orange",2962.59
"Brevard","Osceola",429.19
"Brevard","Seminole",348.87
"Lake","Orange",10623.86
"Lake","Osceola",1025.84
"Lake","Seminole",3101.22
"Lake","Sumter",49.7
"Lake","Volusia",39.24
"Orange","Brevard",73.57
"Orange","Lake",155.59
"Orange","Osceola",1058.78
"Orange","Seminole",2594.79
"Orange","Volusia",31.05
"Osceola","Indian River",72.69
"Osceola","Orange",2871.03
"Osceola","Polk",65.89
"Osceola","Seminole",193.83
"Polk","Orange",6826.09
"Polk","Osceola",3375.9
"Polk","Seminole",365.99
"Seminole","Brevard",30.42
"Seminole","Orange",3686.81
"Seminole","Osceola",104.39
"Seminole","Volusia",67.98
"Sumter","Orange",318.59
"Sumter","Osceola",32.05
"Sumter","Seminole",27.63
"Volusia","Orange",6005.39
"Volusia","Osceola",104.36
"Volusia","Seminole",12620.89
