"source","target","value"
"Brevard","Indian River",49.67
"Brevard","Lake",20.49
"Indian River","Brevard",122.15
"Orange","Brevard",11373.96
"Orange","Lake",44879.27
"Orange","Osceola",524.59
"Orange","Polk",25509.41
"Orange","Seminole",75.65
"Orange","Sumter",625.87
"Orange","Volusia",20892.9
"Osceola","Brevard",1618.04
"Osceola","Indian River",203.09
"Osceola","Lake",5130.23
"Osceola","Polk",18367.97
"Osceola","Sumter",107.21
"Osceola","Volusia",416.26
"Polk","Osceola",19.34
"Seminole","Brevard",871.31
"Seminole","Lake",8333.76
"Seminole","Orange",125.92
"Seminole","Osceola",19.74
"Seminole","Polk",663.03
"Seminole","Sumter",54.09
"Seminole","Volusia",38625.97
"Sumter","Lake",53.92
