"source","target","value"
"Brevard","Indian River",4861.9
"Brevard","Lake",336.56
"Brevard","Polk",162.87
"Brevard","Volusia",1446.39
"Indian River","Brevard",5556.8
"Indian River","Polk",59.49
"Lake","Orange",318.18
"Lake","Polk",2522.82
"Lake","Sumter",7365.44
"Lake","Volusia",2036.71
"Orange","Lake",217.72
"Osceola","Indian River",39.72
"Osceola","Lake",39.94
"Osceola","Polk",895.25
"Polk","Brevard",35.76
"Polk","Lake",2030.31
"Polk","Osceola",20.62
"Polk","Sumter",76.93
"Polk","Volusia",279.22
"Seminole","Volusia",150.19
"Sumter","Lake",13814.45
"Sumter","Polk",66.28
"Sumter","Volusia",114.5
"Volusia","Brevard",1742.88
"Volusia","Lake",3025.81
"Volusia","Polk",427.84
"Volusia","Sumter",45.23
