"source","target","value"
"Brevard","Orange",21.34
"Lake","Seminole",7.31
"Orange","Brevard",2566.44
"Orange","Indian River",112.86
"Orange","Lake",6718.27
"Orange","Osceola",63998.07
"Orange","Polk",2636.77
"Orange","Seminole",120023.17
"Orange","Sumter",383.53
"Orange","Volusia",2596.56
"Osceola","Brevard",435.33
"Osceola","Lake",919.15
"Osceola","Orange",34405.47
"Osceola","Polk",2261.51
"Osceola","Seminole",1744.25
"Osceola","Sumter",31.81
"Osceola","Volusia",182.09
"Polk","Lake",16.41
"Polk","Orange",48.32
"Polk","Osceola",212.37
"Seminole","Brevard",541.13
"Seminole","Indian River",19.24
"Seminole","Lake",1410.4
"Seminole","Orange",72166.69
"Seminole","Osceola",1731.63
"Seminole","Polk",453.87
"Seminole","Sumter",39.83
"Seminole","Volusia",4013.68
"Sumter","Lake",7.73
"Volusia","Seminole",28.3
