"source","target","value"
"Brevard","Indian River",516.42
"Brevard","Orange",14545.41
"Brevard","Osceola",3520.53
"Brevard","Polk",113.25
"Brevard","Seminole",4091.68
"Brevard","Volusia",175.35
"Indian River","Brevard",558.55
"Indian River","Lake",69.22
"Indian River","Orange",1332.58
"Indian River","Osceola",171.57
"Indian River","Polk",88.19
"Indian River","Seminole",505.72
"Lake","Brevard",88
"Lake","Orange",32791.06
"Lake","Osceola",3343.5
"Lake","Polk",653.63
"Lake","Seminole",6709.33
"Lake","Sumter",1250.78
"Lake","Volusia",544.78
"Orange","Brevard",14754.11
"Orange","Indian River",519.77
"Orange","Lake",37137.41
"Orange","Osceola",424210.87
"Orange","Polk",17771.46
"Orange","Seminole",756569.34
"Orange","Sumter",2339.88
"Orange","Volusia",16808.71
"Osceola","Brevard",4062.19
"Osceola","Indian River",402.69
"Osceola","Lake",2890.3
"Osceola","Orange",416088.38
"Osceola","Polk",16375.42
"Osceola","Seminole",15831.76
"Osceola","Sumter",557.7
"Osceola","Volusia",937.72
"Polk","Brevard",210.11
"Polk","Indian River",7.71
"Polk","Lake",454.91
"Polk","Orange",18173.02
"Polk","Osceola",15351.79
"Polk","Seminole",2689.49
"Polk","Sumter",64.8
"Polk","Volusia",197.79
"Seminole","Brevard",3234.42
"Seminole","Indian River",304.62
"Seminole","Lake",7691.59
"Seminole","Orange",723968.23
"Seminole","Osceola",17089.8
"Seminole","Polk",2191.73
"Seminole","Sumter",663.93
"Seminole","Volusia",22432.14
"Sumter","Brevard",27.69
"Sumter","Lake",932.56
"Sumter","Orange",3090.19
"Sumter","Osceola",577.12
"Sumter","Polk",23.69
"Sumter","Seminole",784.69
"Volusia","Brevard",309.55
"Volusia","Indian River",26.93
"Volusia","Lake",596.69
"Volusia","Orange",15807.9
"Volusia","Osceola",1175.35
"Volusia","Polk",149.79
"Volusia","Seminole",22353.34
