"source","target","value"
"Brevard","Indian River",91.86
"Brevard","Orange",3213.43
"Brevard","Osceola",654.36
"Brevard","Seminole",70.55
"Indian River","Orange",42.65
"Lake","Orange",18962.7
"Lake","Osceola",2635.48
"Lake","Seminole",2497.06
"Lake","Sumter",38.36
"Osceola","Orange",88.46
"Polk","Orange",16826.51
"Polk","Osceola",7787.18
"Polk","Seminole",171.32
"Sumter","Orange",177.75
"Sumter","Osceola",45.55
"Sumter","Seminole",108.18
"Volusia","Orange",6322.39
"Volusia","Osceola",375.31
"Volusia","Seminole",12569.82
