"source","target","value"
"Indian River","Brevard",32.83
"Indian River","Polk",37.56
"Orange","Brevard",2907.84
"Orange","Indian River",60.74
"Orange","Lake",14329.4
"Orange","Osceola",88.85
"Orange","Polk",7059.94
"Orange","Sumter",476.05
"Orange","Volusia",3684.5
"Osceola","Brevard",539.38
"Osceola","Indian River",119.76
"Osceola","Lake",1081.52
"Osceola","Polk",5882.27
"Osceola","Volusia",70.54
"Polk","Lake",19.02
"Seminole","Brevard",423.25
"Seminole","Lake",1958.64
"Seminole","Polk",388.93
"Seminole","Volusia",9064.97
"Sumter","Lake",72.77
