"source","target","value"
"Brevard","Indian River",2119.92
"Brevard","Volusia",661.82
"Indian River","Brevard",1939.25
"Indian River","Polk",55.66
"Indian River","Volusia",38.85
"Lake","Brevard",85.82
"Lake","Orange",210.99
"Lake","Polk",883.56
"Lake","Sumter",6440.09
"Lake","Volusia",1191.47
"Orange","Lake",69.92
"Osceola","Polk",74.39
"Polk","Brevard",206.71
"Polk","Indian River",15.62
"Polk","Lake",1853.46
"Polk","Osceola",570.66
"Sumter","Lake",4207
"Volusia","Brevard",448.64
"Volusia","Lake",1102.47
"Volusia","Polk",183.35
"Volusia","Sumter",171.75
