"source","target","value"
"Brevard","Indian River",2211.78
"Brevard","Orange",3290
"Brevard","Osceola",654.36
"Brevard","Seminole",155.1
"Brevard","Volusia",661.82
"Indian River","Brevard",1972.08
"Indian River","Orange",42.65
"Indian River","Polk",93.22
"Indian River","Volusia",38.85
"Lake","Brevard",85.82
"Lake","Orange",19337.18
"Lake","Osceola",2679.88
"Lake","Polk",883.56
"Lake","Seminole",2497.06
"Lake","Sumter",6478.45
"Lake","Volusia",1191.47
"Orange","Brevard",2907.84
"Orange","Indian River",60.74
"Orange","Lake",14738.92
"Orange","Osceola",29129.63
"Orange","Polk",7354.63
"Orange","Seminole",48141.73
"Orange","Sumter",476.05
"Orange","Volusia",3850.54
"Osceola","Brevard",539.38
"Osceola","Indian River",119.76
"Osceola","Lake",1081.52
"Osceola","Orange",54836.45
"Osceola","Polk",6245.86
"Osceola","Seminole",776.59
"Osceola","Volusia",70.54
"Polk","Brevard",206.71
"Polk","Indian River",15.62
"Polk","Lake",1872.48
"Polk","Orange",17087.67
"Polk","Osceola",8590.23
"Polk","Seminole",171.32
"Seminole","Brevard",423.25
"Seminole","Lake",1958.64
"Seminole","Orange",59369.45
"Seminole","Osceola",844.98
"Seminole","Polk",388.93
"Seminole","Volusia",9215.96
"Sumter","Lake",4360.4
"Sumter","Orange",177.75
"Sumter","Osceola",45.55
"Sumter","Seminole",108.18
"Volusia","Brevard",448.64
"Volusia","Lake",1162.88
"Volusia","Orange",6322.39
"Volusia","Osceola",375.31
"Volusia","Polk",183.35
"Volusia","Seminole",12681.85
"Volusia","Sumter",171.75
