"source","target","value"
"Brevard","Indian River",28545.64
"Brevard","Lake",3738.29
"Brevard","Orange",110286.41
"Brevard","Osceola",17546.48
"Brevard","Polk",6818.19
"Brevard","Seminole",9571.1
"Brevard","Sumter",3074.04
"Brevard","Volusia",42938.24
"Indian River","Brevard",27758.56
"Indian River","Lake",1339.23
"Indian River","Orange",23194.43
"Indian River","Osceola",4922.32
"Indian River","Polk",3667.61
"Indian River","Seminole",1969.41
"Indian River","Sumter",1420.64
"Indian River","Volusia",8233.34
"Lake","Brevard",5534.86
"Lake","Indian River",1231.62
"Lake","Orange",89985.11
"Lake","Osceola",27828.86
"Lake","Polk",17780.68
"Lake","Seminole",12242.38
"Lake","Sumter",59691.22
"Lake","Volusia",19885.35
"Orange","Brevard",130186.23
"Orange","Indian River",22329.55
"Orange","Lake",91385.01
"Orange","Osceola",713494.87
"Orange","Polk",156332.31
"Orange","Seminole",144740.06
"Orange","Sumter",58431.74
"Orange","Volusia",149952.86
"Osceola","Brevard",16692.14
"Osceola","Indian River",5142.01
"Osceola","Lake",27943.84
"Osceola","Orange",819602.59
"Osceola","Polk",76384.16
"Osceola","Seminole",17057.19
"Osceola","Sumter",14755.65
"Osceola","Volusia",33946.35
"Polk","Brevard",8764.82
"Polk","Indian River",2676.48
"Polk","Lake",19690.2
"Polk","Orange",184329.79
"Polk","Osceola",83227.46
"Polk","Seminole",11281.73
"Polk","Sumter",11947.61
"Polk","Volusia",20195.39
"Seminole","Brevard",10042.62
"Seminole","Indian River",1515.67
"Seminole","Lake",10386.84
"Seminole","Orange",152234.07
"Seminole","Osceola",16971.91
"Seminole","Polk",10361.61
"Seminole","Sumter",2179.12
"Seminole","Volusia",47833.63
"Sumter","Brevard",4748.67
"Sumter","Indian River",1094.76
"Sumter","Lake",57465.18
"Sumter","Orange",48529.95
"Sumter","Osceola",13769.7
"Sumter","Polk",9563.65
"Sumter","Seminole",3279.63
"Sumter","Volusia",2529.91
"Volusia","Brevard",45793.38
"Volusia","Indian River",9329.8
"Volusia","Lake",19070.88
"Volusia","Orange",162030.06
"Volusia","Osceola",43741.12
"Volusia","Polk",22352.47
"Volusia","Seminole",43590.97
"Volusia","Sumter",2296.35
