"source","target","value"
"Brevard","Indian River",563.67
"Brevard","Lake",61.36
"Brevard","Orange",13685
"Brevard","Osceola",3372.57
"Brevard","Seminole",3244.73
"Brevard","Volusia",744.99
"Indian River","Brevard",433.3
"Indian River","Orange",932.51
"Indian River","Osceola",268.02
"Indian River","Polk",106.14
"Indian River","Seminole",454.53
"Indian River","Volusia",66.88
"Lake","Brevard",51.08
"Lake","Orange",22892.51
"Lake","Osceola",3186.33
"Lake","Polk",937.97
"Lake","Seminole",6840.09
"Lake","Sumter",1308.92
"Lake","Volusia",838.63
"Orange","Brevard",16629.5
"Orange","Indian River",1515.81
"Orange","Lake",24053.71
"Orange","Osceola",113706.25
"Orange","Polk",14538.38
"Orange","Seminole",179578.17
"Orange","Sumter",1429.6
"Orange","Volusia",15742.92
"Osceola","Brevard",3695.52
"Osceola","Indian River",547.94
"Osceola","Lake",2617.02
"Osceola","Orange",119499.1
"Osceola","Polk",10523.83
"Osceola","Seminole",6473.13
"Osceola","Sumter",225.32
"Osceola","Volusia",1966.75
"Polk","Brevard",254.2
"Polk","Indian River",81.55
"Polk","Lake",683.91
"Polk","Orange",11781.06
"Polk","Osceola",9679.2
"Polk","Seminole",1828.99
"Polk","Volusia",221.66
"Seminole","Brevard",3767.76
"Seminole","Indian River",240.9
"Seminole","Lake",7169.83
"Seminole","Orange",197560.64
"Seminole","Osceola",7673.2
"Seminole","Polk",2657.33
"Seminole","Sumter",854.8
"Seminole","Volusia",19745.17
"Sumter","Lake",1615.81
"Sumter","Orange",1390.88
"Sumter","Osceola",195.13
"Sumter","Polk",74.82
"Sumter","Seminole",436.09
"Sumter","Volusia",28.18
"Volusia","Brevard",317.43
"Volusia","Indian River",48.82
"Volusia","Lake",1343.68
"Volusia","Orange",11805.93
"Volusia","Osceola",996.65
"Volusia","Polk",167.72
"Volusia","Seminole",16572.62
