"source","target","value"
"Brevard","Indian River",33205.02
"Brevard","Lake",2930.17
"Brevard","Orange",50838.84
"Brevard","Osceola",6575.07
"Brevard","Polk",4989.57
"Brevard","Seminole",4631.98
"Brevard","Sumter",1468.1
"Brevard","Volusia",52766.15
"Indian River","Brevard",38608.41
"Indian River","Lake",1023.06
"Indian River","Orange",7624.26
"Indian River","Osceola",4940.92
"Indian River","Polk",2411.15
"Indian River","Seminole",1024.93
"Indian River","Sumter",1104.06
"Indian River","Volusia",15204.11
"Lake","Brevard",2713.44
"Lake","Indian River",1113.34
"Lake","Orange",56699.05
"Lake","Osceola",9105.83
"Lake","Polk",15104.96
"Lake","Seminole",11015.96
"Lake","Sumter",46848.33
"Lake","Volusia",20195.06
"Orange","Brevard",39621.91
"Orange","Indian River",5951.69
"Orange","Lake",51732.99
"Orange","Osceola",63661.73
"Orange","Polk",83322.69
"Orange","Seminole",29208.03
"Orange","Sumter",16854.57
"Orange","Volusia",39664.83
"Osceola","Brevard",5416.09
"Osceola","Indian River",3744.31
"Osceola","Lake",11076.77
"Osceola","Orange",68606.05
"Osceola","Polk",37144.71
"Osceola","Seminole",3781.96
"Osceola","Sumter",10173.36
"Osceola","Volusia",6404.93
"Polk","Brevard",4926.83
"Polk","Indian River",3719.25
"Polk","Lake",13876.91
"Polk","Orange",102998.51
"Polk","Osceola",41278.06
"Polk","Seminole",9914.54
"Polk","Sumter",6523.54
"Polk","Volusia",14711.84
"Seminole","Brevard",3643.59
"Seminole","Indian River",588.13
"Seminole","Lake",9517.01
"Seminole","Orange",30405.42
"Seminole","Osceola",3363.69
"Seminole","Polk",7330.39
"Seminole","Sumter",1223.54
"Seminole","Volusia",40518.32
"Sumter","Brevard",814.59
"Sumter","Indian River",1189.78
"Sumter","Lake",47915.56
"Sumter","Orange",17933.82
"Sumter","Osceola",6329.24
"Sumter","Polk",5717.02
"Sumter","Seminole",1111.97
"Sumter","Volusia",1253.14
"Volusia","Brevard",38998.8
"Volusia","Indian River",12289.81
"Volusia","Lake",18484.47
"Volusia","Orange",48524.02
"Volusia","Osceola",6247.25
"Volusia","Polk",13781.57
"Volusia","Seminole",35901.64
"Volusia","Sumter",1689.25
