"source","target","value"
"Indian River","Brevard",45.93
"Lake","Polk",23.25
"Orange","Brevard",2510.37
"Orange","Indian River",42.65
"Orange","Lake",14588.7
"Orange","Osceola",122.22
"Orange","Polk",12638.39
"Orange","Sumter",149.09
"Orange","Volusia",5341.13
"Osceola","Brevard",561.23
"Osceola","Lake",1949.46
"Osceola","Polk",6468.27
"Osceola","Sumter",45.55
"Osceola","Volusia",223.39
"Polk","Osceola",26.79
"Seminole","Brevard",36.37
"Seminole","Lake",1904.32
"Seminole","Osceola",19.74
"Seminole","Polk",133.32
"Seminole","Sumter",108.18
"Seminole","Volusia",9884.78
"Sumter","Lake",38.36
