"source","target","value"
"Brevard","Indian River",54.9
"Brevard","Seminole",61.41
"Lake","Orange",124.3
"Lake","Polk",6.08
"Lake","Sumter",136.54
"Lake","Volusia",41.86
"Orange","Brevard",3429.92
"Orange","Indian River",215.89
"Orange","Lake",4487.95
"Orange","Osceola",25199.52
"Orange","Polk",2756.42
"Orange","Seminole",34186.33
"Orange","Sumter",417.08
"Orange","Volusia",3025.06
"Osceola","Brevard",541.96
"Osceola","Indian River",53.05
"Osceola","Lake",511.46
"Osceola","Orange",18648.46
"Osceola","Polk",1245.82
"Osceola","Seminole",453.1
"Osceola","Sumter",43.93
"Osceola","Volusia",201.24
"Polk","Lake",7.36
"Polk","Orange",65.88
"Polk","Osceola",60.67
"Seminole","Brevard",650.57
"Seminole","Lake",902.47
"Seminole","Orange",29839.44
"Seminole","Osceola",791.65
"Seminole","Polk",563.44
"Seminole","Sumter",48.47
"Seminole","Volusia",3391.87
"Volusia","Seminole",51.58
