"source","target","value"
"Brevard","Indian River",1936.82
"Brevard","Lake",251.33
"Brevard","Orange",3904.04
"Brevard","Osceola",601.39
"Brevard","Polk",305.29
"Brevard","Seminole",536.15
"Brevard","Sumter",38.16
"Brevard","Volusia",1017.42
"Indian River","Brevard",2002.83
"Indian River","Orange",177.17
"Indian River","Osceola",18.94
"Indian River","Polk",136
"Indian River","Seminole",56.23
"Indian River","Volusia",35.38
"Lake","Brevard",128.43
"Lake","Orange",6752.75
"Lake","Osceola",478.48
"Lake","Polk",1056.61
"Lake","Seminole",1048.58
"Lake","Sumter",4335.33
"Lake","Volusia",1349.53
"Orange","Lake",94.02
"Osceola","Lake",41.49
"Osceola","Polk",339.74
"Polk","Brevard",143.02
"Polk","Indian River",247.1
"Polk","Lake",1096.05
"Polk","Orange",6217.45
"Polk","Osceola",2814.8
"Polk","Seminole",179.32
"Polk","Sumter",36.93
"Polk","Volusia",492.96
"Seminole","Lake",37.57
"Sumter","Brevard",21.17
"Sumter","Lake",5079.53
"Sumter","Orange",238.91
"Sumter","Osceola",67.61
"Sumter","Polk",39.59
"Sumter","Seminole",84.83
"Sumter","Volusia",106.21
"Volusia","Brevard",910.2
"Volusia","Indian River",116.06
"Volusia","Lake",1223.74
"Volusia","Orange",3705.21
"Volusia","Osceola",101.93
"Volusia","Polk",357.21
"Volusia","Seminole",4148.44
"Volusia","Sumter",65.67
