"source","target","value"
"Brevard","Indian River",595.98
"Brevard","Lake",217.98
"Brevard","Orange",7398.72
"Brevard","Osceola",1433.68
"Brevard","Polk",53.7
"Brevard","Seminole",1702.25
"Brevard","Sumter",23.02
"Brevard","Volusia",315.92
"Indian River","Brevard",594.8
"Indian River","Orange",433.99
"Indian River","Osceola",277.89
"Indian River","Polk",261.81
"Indian River","Seminole",166.54
"Indian River","Sumter",11.44
"Lake","Brevard",169.75
"Lake","Orange",28525.68
"Lake","Osceola",1845.94
"Lake","Polk",631.2
"Lake","Seminole",4948.78
"Lake","Sumter",1886.71
"Lake","Volusia",526.29
"Orange","Brevard",8172.12
"Orange","Indian River",447.89
"Orange","Lake",29241.95
"Orange","Osceola",15105.74
"Orange","Polk",12638.62
"Orange","Seminole",22640.93
"Orange","Sumter",1154.76
"Orange","Volusia",8619.69
"Osceola","Brevard",1581.41
"Osceola","Indian River",163.6
"Osceola","Lake",2216.06
"Osceola","Orange",14611.22
"Osceola","Polk",12201.27
"Osceola","Seminole",724.27
"Osceola","Sumter",7.29
"Osceola","Volusia",314.54
"Polk","Brevard",31.23
"Polk","Indian River",161.76
"Polk","Lake",555.43
"Polk","Orange",12161.88
"Polk","Osceola",12011.21
"Polk","Seminole",1159.53
"Polk","Sumter",101.37
"Polk","Volusia",295.85
"Seminole","Brevard",1918.25
"Seminole","Lake",4321.45
"Seminole","Orange",23050.31
"Seminole","Osceola",905.64
"Seminole","Polk",1520.64
"Seminole","Sumter",289.48
"Seminole","Volusia",16591.88
"Sumter","Lake",2605.62
"Sumter","Orange",1314.32
"Sumter","Osceola",92.81
"Sumter","Polk",106.26
"Sumter","Seminole",304.57
"Sumter","Volusia",35.82
"Volusia","Brevard",308.31
"Volusia","Indian River",77.26
"Volusia","Lake",441.85
"Volusia","Orange",8166.93
"Volusia","Osceola",449.74
"Volusia","Polk",163.5
"Volusia","Seminole",16821.01
"Volusia","Sumter",146.41
