"source","target","value"
"Brevard","Indian River",60.63
"Brevard","Orange",429.4
"Brevard","Osceola",203.26
"Brevard","Seminole",42.52
"Brevard","Sumter",68.7
"Brevard","Volusia",55.94
"Indian River","Brevard",228.73
"Indian River","Orange",170.48
"Lake","Indian River",39.55
"Lake","Orange",459.36
"Lake","Osceola",26.14
"Lake","Sumter",197.69
"Lake","Volusia",92.87
"Orange","Brevard",307.64
"Orange","Lake",504.08
"Orange","Osceola",612.46
"Orange","Polk",179.49
"Orange","Seminole",819.07
"Orange","Volusia",115.9
"Osceola","Lake",5.25
"Osceola","Orange",759.62
"Osceola","Polk",126.6
"Osceola","Seminole",49.16
"Osceola","Volusia",7.11
"Polk","Brevard",57.83
"Polk","Indian River",55.57
"Polk","Lake",75.82
"Polk","Orange",628.95
"Polk","Osceola",180.16
"Polk","Sumter",47.12
"Polk","Volusia",88.72
"Seminole","Brevard",38.38
"Seminole","Lake",42.15
"Seminole","Orange",1219.81
"Seminole","Polk",35.8
"Seminole","Volusia",129.16
"Sumter","Brevard",13.65
"Sumter","Lake",581.21
"Sumter","Orange",19.2
"Sumter","Polk",26.27
"Sumter","Seminole",152.56
"Sumter","Volusia",85.42
"Volusia","Brevard",123.68
"Volusia","Lake",45
"Volusia","Orange",106.18
"Volusia","Polk",40.18
"Volusia","Seminole",221.87
