"source","target","value"
"Brevard","Polk",58.04
"Lake","Orange",135.51
"Lake","Polk",7.25
"Lake","Seminole",27
"Orange","Brevard",17728.25
"Orange","Indian River",1492.77
"Orange","Lake",16462.67
"Orange","Osceola",28562.81
"Orange","Polk",8816.71
"Orange","Seminole",61184.57
"Orange","Sumter",1255.25
"Orange","Volusia",13420.95
"Osceola","Brevard",4304.76
"Osceola","Indian River",107.51
"Osceola","Lake",1455.18
"Osceola","Orange",46808.87
"Osceola","Polk",4436.52
"Osceola","Seminole",1965.45
"Osceola","Sumter",171.05
"Osceola","Volusia",1378.68
"Polk","Brevard",25.26
"Polk","Lake",21.35
"Polk","Orange",183.24
"Polk","Osceola",410.89
"Seminole","Brevard",4712.94
"Seminole","Indian River",75.06
"Seminole","Lake",4958.52
"Seminole","Orange",81296.79
"Seminole","Osceola",3114.51
"Seminole","Polk",2420.49
"Seminole","Sumter",399.68
"Seminole","Volusia",17972.16
"Volusia","Orange",29.4
"Volusia","Seminole",55.32
