"source","target","value"
"Brevard","Indian River",60.3
"Brevard","Orange",23580.14
"Brevard","Osceola",6471.02
"Brevard","Seminole",6578.22
"Indian River","Brevard",65.62
"Indian River","Orange",1290.37
"Indian River","Osceola",346
"Indian River","Seminole",64.26
"Indian River","Volusia",43.65
"Lake","Orange",28544.57
"Lake","Osceola",2864.25
"Lake","Polk",31.64
"Lake","Seminole",5878.05
"Lake","Sumter",94.22
"Lake","Volusia",59.14
"Orange","Brevard",115.58
"Orange","Indian River",106.88
"Orange","Lake",339.91
"Orange","Osceola",80876.27
"Orange","Polk",93.36
"Orange","Seminole",112597.8
"Orange","Sumter",89.23
"Orange","Volusia",269.91
"Osceola","Indian River",70.61
"Osceola","Orange",42941.09
"Osceola","Polk",176.03
"Osceola","Seminole",3915.49
"Osceola","Volusia",31.7
"Polk","Orange",14776.43
"Polk","Osceola",11323.12
"Polk","Seminole",2802.76
"Seminole","Brevard",27.82
"Seminole","Lake",122.06
"Seminole","Orange",90511.91
"Seminole","Osceola",3029.56
"Sumter","Orange",1364.62
"Sumter","Osceola",359.36
"Sumter","Seminole",349.55
"Volusia","Orange",19201.43
"Volusia","Osceola",2026.32
"Volusia","Seminole",23251.62
