"source","target","value"
"Brevard","Indian River",830.26
"Brevard","Volusia",265.86
"Indian River","Brevard",819.9
"Lake","Orange",2401.57
"Lake","Osceola",47.47
"Lake","Polk",221.39
"Lake","Seminole",312.95
"Lake","Sumter",2721.28
"Lake","Volusia",338.24
"Orange","Lake",1995.1
"Orange","Osceola",6479.41
"Orange","Polk",9.07
"Orange","Seminole",11871.35
"Osceola","Lake",35.36
"Osceola","Orange",6420.13
"Osceola","Polk",3906.8
"Polk","Lake",343.75
"Polk","Orange",54.64
"Polk","Osceola",4235.99
"Seminole","Lake",257.3
"Seminole","Orange",12833.42
"Seminole","Volusia",497.47
"Sumter","Lake",2095.19
"Volusia","Brevard",199
"Volusia","Lake",690.69
"Volusia","Seminole",490.13
