"source","target","value"
"Brevard","Indian River",44.72
"Brevard","Orange",165.83
"Brevard","Osceola",34.93
"Indian River","Brevard",48.99
"Lake","Orange",475.31
"Lake","Osceola",28
"Lake","Seminole",189.33
"Lake","Sumter",58.83
"Orange","Brevard",12473.93
"Orange","Indian River",571.33
"Orange","Lake",31878.13
"Orange","Osceola",61037.88
"Orange","Polk",13922.55
"Orange","Seminole",133933.59
"Orange","Sumter",1720.03
"Orange","Volusia",16463.98
"Osceola","Brevard",3118.39
"Osceola","Indian River",475.49
"Osceola","Lake",3611.02
"Osceola","Orange",110120.74
"Osceola","Polk",11556.02
"Osceola","Seminole",5071.82
"Osceola","Sumter",308.7
"Osceola","Volusia",1177.4
"Polk","Lake",24
"Polk","Orange",276.13
"Polk","Osceola",623.22
"Polk","Seminole",7.23
"Polk","Volusia",9.15
"Seminole","Brevard",3416.15
"Seminole","Indian River",75.28
"Seminole","Lake",5297.15
"Seminole","Orange",180721.53
"Seminole","Osceola",4576.63
"Seminole","Polk",1790.69
"Seminole","Sumter",558.27
"Seminole","Volusia",18536.56
"Sumter","Lake",132.71
"Volusia","Brevard",36.29
"Volusia","Orange",122.68
"Volusia","Seminole",104.7
